Issuer;Customer;Card;License plate No;Transactiondate;Product INV;Quantity;Gross CC;VAT;Voucher;Mileage;Corrected mileage;Additional info;Supply country;Site Town;Product DEL;Unitprice;Amount;Discount;Surcharge;VAT;Suppliercurrency;Invoice No;Invoice date;Invoiced?;VAT2010;State;Supplier;Cost 1;Cost 2;Reference No;Recordtype;Amount other;is listprice ?;Approval code;Date to;Final Trx.;LPI
710111;107248;104;BG 2018 - RN;2024-07-15 18:20:00;OMV EVRO DIZEL;44.24;8,582.56;1,430.43;00503387;72020;72020;                  ;SR;BESKA 1;OMV EVRO DIZEL;194.000;8,582.56;0.00;0.00;1,430.43;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;9,201.90;Yes;782022;2024-07-15;1;
710111;107248;104;BG 2018 - RN;2024-07-10 15:45:00;ED MAXXMOTION;42.01;9,700.10;1,616.68;00391557;71266;71266;                  ;SR;LAPOVO SEVER;ED MAXXMOTION;230.900;9,700.10;0.00;0.00;1,616.68;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;0.00;No;755319;2024-07-10;1;
710111;107248;104;BG 2018 - RN;2024-07-30 08:30:00;ED MAXXMOTION;44.44;9,994.60;1,665.77;00512564;0;0;                  ;SR;BESKA 2;ED MAXXMOTION;224.901;9,994.60;0.00;0.00;1,665.77;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;0.00;No;783059;2024-07-30;1;
710111;107248;104;BG 2018 - RN;2024-08-05 17:13:00;OMV EVRO DIZEL;35.02;6,548.74;1,091.46;00522075;73958;73958;                  ;SR;BESKA 1;OMV EVRO DIZEL;187.000;6,548.74;0.00;0.00;1,091.46;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;7,039.00;Yes;771406;2024-08-05;1;
710111;107248;104;BG 2018 - RN;2024-08-05 17:19:00;AdBlue;4.04;279.89;46.65;00522077;73958;73958;                  ;SR;BESKA 1;AdBlue;69.280;279.89;0.00;0.00;46.65;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;501.00;Yes;771945;2024-08-05;1;
710111;107248;104;BG 2018 - RN;2024-08-13 16:39:00;ED MAXXMOTION;45.25;9,995.70;1,665.95;00195398;75378;75378;                  ;SR;BESKA 1;ED MAXXMOTION;220.899;9,995.70;0.00;0.00;1,665.95;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;0.00;No;763957;2024-08-13;1;
710111;107248;104;BG 2018 - RN;2024-09-02 08:59:00;ED MAXXMOTION;45.00;9,850.50;;00171243;76188;76188;;SR;Martinci;ED MAXXMOTION;218.900;9,850.50;;;;RSD;;;NO;;0;OMV-RS;;;;D;0.00;;785921;2024-09-02;0;
710111;107248;401;BG 1008 - VB;2024-07-25 07:27:00;OMV EVRO DIZEL;49.94;9,488.60;1,581.43;00430881;85433;85433;                  ;SR;OBILAZNICA 1;OMV EVRO DIZEL;190.000;9,488.60;0.00;0.00;1,581.43;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;10,237.70;Yes;772721;2024-07-25;1;
710111;107248;385;BG 931 - IP;2024-08-15 15:27:00;OMV EVRO DIZEL;32.00;5,888.00;981.33;00304523;144971;144971;                  ;SR;ADA CIGANLIJA;OMV EVRO DIZEL;184.000;5,888.00;0.00;0.00;981.33;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;6,336.00;Yes;752752;2024-08-15;1;
710111;107248;385;BG 931 - IP;2024-07-08 13:43:00;OMV EVRO DIZEL;34.22;6,758.45;1,126.41;00484792;143380;143380;                  ;SR;ADA CIGANLIJA;OMV EVRO DIZEL;197.500;6,758.45;0.00;0.00;1,126.41;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;7,117.80;Yes;734342;2024-07-08;1;
710111;107248;385;BG 931 - IP;2024-07-16 17:01:00;OMV EVRO DIZEL;35.81;6,911.33;1,151.89;00489982;0;0;                  ;SR;ADA CIGANLIJA;OMV EVRO DIZEL;193.000;6,911.33;0.00;0.00;1,151.89;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;7,448.50;Yes;770118;2024-07-16;1;
710111;107248;385;BG 931 - IP;2024-07-24 18:46:00;OMV EVRO DIZEL;42.19;8,016.10;1,336.02;00171400;144454;144454;                  ;SR;INDJIJA;OMV EVRO DIZEL;190.000;8,016.10;0.00;0.00;1,336.02;RSD;8914384142;2024-07-31;YES;NO;117;OMV-RS;;;;D;8,649.00;Yes;784641;2024-07-24;1;
